4 5 5 11 18 16 19 0 20 11 21 21 3 13 1 3 20 5 7 11 14 2 17 4 7 5 1 13 21 18 11 21 11 4 7 10 20 3 21 5 3 21 13 7 8 13 1 11 7 8 15 4 7 9 13 1 7 21 13 15 20 2 7 17 13 7 20 13 11 1
19 0 9 15 14 21 20 15 1 1 20 11 1 3 5 21 3 20 4 9 3 5 3 20 9 21 11 3 3 15 1 21 21 14 0 3 21 21 5 21 15 17 19 13 5 1 11 13 9 9 9 15 21 12 13 15 15 11 15 17 21 1 1 5 1 9 1 20 9 17
7 12 1 0 3 4 7 10 13 3 15 21 5 20 9 7 15 15 6 1 11 19 21 15 17 7 2 4 9 16 16 13 1 13 8 15 11 17 8 19 13 17 19 19 1 19 5 13 1 21 15 1 12 2 8 3 1 7 21 5 6 5 5 1 8 15 1 1 12 9
15 3 9 13 6 5 15 12 20 1 3 1 1 1 14 9 1 3 6 6 7 6 13 3 11 15 3 14 21 13 9 19 13 9 19 16 13 15 15 11 11 7 0 19 15 21 11 5 21 13 16 7 21 11 9 15 17 7 17 4 13 2 1 16 17 3 14 4 10 9
19 16 14 11 6 1 9 13 1 17 7 2 7 0 4 17 7 11 3 14 9 3 18 19 19 7 3 19 7 5 14 5 15 9 3 1 1 21 21 15 8 3 13 13 6 1 9 9 17 9 4 17 15 7 13 1 13 15 11 10 1 14 12 9 14 19 8 9 1 11
18 2 19 21 16 19 1 21 9 20 9 9 13 3 1 12 11 5 1 12 15 13 3 6 19 1 10 1 19 1 9 7 8 18 21 19 13 13 9 2 19 17 15 5 15 17 15 20 8 13 11 21 19 11 5 12 19 5 21 13 11 5 21 7 12 15 1 18 11 17
21 15 2 17 21 20 7 15 1 3 17 7 19 16 11 17 13 21 15 15 19 13 9 1 11 4 19 11 7 9 1 16 19 21 14 21 11 10 9 9 19 5 13 17 17 19 7 20 19 21 17 17 17 1 7 7 9 9 1 13 11 1 11 9 11 3 3 21 15 10
5 17 21 8 5 4 5 9 17 17 17 10 5 12 11 10 6 13 21 20 13 6 15 21 20 6 7 17 3 21 17 9 14 19 9 5 7 21 13 9 3 17 17 8 13 13 19 1 19 13 15 13 3 21 0 7 1 3 13 15 13 21 15 9 17 12 21 21 15 5
10 0 10 13 3 1 19 5 19 21 9 1 15 19 11 10 11 3 3 1 10 14 1 18 3 13 19 17 13 3 19 18 13 20 19 11 11 9 1 13 19 1 19 20 21 5 14 17 10 1 3 3 11 13 9 5 5 10 3 9 7 13 19 18 1 0 13 21 11 10
17 19 9 1 12 21 17 8 21 17 7 5 7 7 1 5 21 4 17 9 1 13 9 13 3 13 0 7 13 1 9 13 17 15 17 1 0 15 13 16 11 7 17 3 4 13 21 7 19 12 13 14 0 11 21 9 0 19 3 3 5 7 0 20 0 18 15 19 18 13
